Step, Time, BitDepth, HoleDepth, blockPosition. JointLength, hookload, DWOB, Torque, RPM, PumpPress, FlowRate
Step 2 Kelly, 63250, 4941.83717708722, 4982.6, 74.062822912767, 0, 156646.764089296, 0, 0, 0, 0, 0
Step 2 Kelly, 63300, 4941.82313740171, 4982.6, 74.0768625982781, 0, 156646.764089296, 0, 0, 0, 0, 0
Step 2 Kelly, 63350, 4941.8090977162, 4982.6, 74.0909022837891, 0, 156646.764089296, 0, 0, 0, 0, 0
Step 2 Kelly, 63400, 4941.79505803069, 4982.6, 74.1049419693002, 0, 156646.764089296, 0, 0, 0, 0, 0
Step 2 Kelly, 63450, 4941.78101834518, 4982.6, 74.1189816548112, 0, 156646.764089296, 0, 0, 0, 0, 0
Step 2 Kelly, 63500, 4941.76697865967, 4982.6, 74.1330213403223, 0, 156646.764089296, 0, 0, 0, 0, 0
Step 2 Kelly, 63550, 4941.75293897416, 4982.6, 74.1470610258333, 0, 156646.764089296, 0, 0, 0, 0, 0
Step 2 Kelly, 63600, 4941.73889928865, 4982.6, 74.1611007113444, 0, 156646.764089296, 0, 0, 0, 0, 0
Step 2 Kelly, 63650, 4941.72719955072, 4982.6, 74.1728004492702, 0, 156646.764089296, 0, 0, 0, 0, 0
Step 2 Kelly, 63700, 4941.71315986521, 4982.6, 74.1868401347813, 0, 156646.764089296, 0, 0, 0, 0, 0
Step 2 Kelly, 63750, 4941.6991201797, 4982.6, 74.2008798202923, 0, 156646.764089296, 0, 0, 0, 0, 0
Step 2 Kelly, 63800, 4941.68508049419, 4982.6, 74.2149195058034, 0, 156646.764089296, 0, 0, 0, 0, 0
Step 2 Kelly, 63850, 4941.67104080867, 4982.6, 74.2289591913144, 0, 156646.764089296, 0, 0, 0, 0, 0
Step 2 Kelly, 63900, 4941.65700112316, 4982.6, 74.2429988768255, 0, 156646.764089296, 0, 0, 0, 0, 0
Step 2 Kelly, 63950, 4941.64296143765, 4982.6, 74.2570385623365, 0, 156646.764089296, 0, 0, 0, 0, 0
Step 2 Kelly, 64000, 4941.62892175214, 4982.6, 74.2710782478476, 0, 156646.764089296, 0, 0, 0, 0, 0
Step 2 Kelly, 64050, 4941.61488206663, 4982.6, 74.2851179333586, 0, 156646.764089296, 0, 0, 0, 0, 0
Step 2 Kelly, 64100, 4941.60084238112, 4982.6, 74.2991576188697, 0, 156646.764089296, 0, 0, 0, 0, 0
Step 2 Kelly, 64150, 4941.58680269561, 4982.6, 74.3131973043808, 0, 156646.764089296, 0, 0, 0, 0, 0
Step 3 Kelly, 64200, 4941.60084238112, 4982.6, 74.2991576188697, 0, 156538.882381793, 0, 0, 0, 0, 0
Step 3 Kelly, 64250, 4941.61254211904, 4982.6, 74.2874578809438, 0, 156323.118966786, 0, 0, 0, 0, 0
Step 3 Kelly, 64300, 4941.62424185697, 4982.6, 74.275758143018, 0, 155999.473844276, 0, 0, 0, 0, 0
Step 3 Kelly, 64350, 4941.63360164731, 4982.6, 74.2663983526773, 0, 155567.947014263, 0, 0, 0, 0, 0
Step 3 Kelly, 64400, 4941.64062149007, 4982.6, 74.2593785099217, 0, 155028.538476746, 0, 0, 0, 0, 0
Step 3 Kelly, 64450, 4941.64296143765, 4982.6, 74.2570385623366, 0, 154381.248231726, 0, 0, 0, 0, 0
Step 3 Kelly, 64500, 4941.64530138524, 4982.6, 74.2546986147514, 0, 153626.076279203, 0, 0, 0, 0, 0
Step 3 Kelly, 64550, 4941.64764133282, 4982.6, 74.2523586671662, 0, 152763.022619176, 0, 0, 0, 0, 0
Step 3 Kelly, 64600, 4941.65466117558, 4982.6, 74.2453388244107, 0, 151792.087251646, 0, 0, 0, 0, 0
Step 3 Kelly, 64650, 4941.6663609135, 4982.6, 74.2336390864848, 0, 150713.270176612, 0, 0, 0, 0, 0
Step 3 Kelly, 64700, 4941.6827405466, 4982.6, 74.2172594533886, 0, 149526.571394075, 0, 0, 0, 0, 0
Step 3 Kelly, 64750, 4941.70380007486, 4982.6, 74.1961999251221, 0, 148447.754319042, 0, 0, 0, 0, 0
Step 3 Kelly, 64800, 4941.72719955072, 4982.6, 74.1728004492703, 0, 147476.818951512, 0, 0, 0, 0, 0
Step 3 Kelly, 64850, 4941.75761886932, 4982.6, 74.1423811306631, 0, 146613.765291485, 0, 0, 0, 0, 0
Step 3 Kelly, 64900, 4941.78803818793, 4982.6, 74.1119618120558, 0, 145858.593338962, 0, 0, 0, 0, 0
Step 3 Kelly, 64950, 4941.82313740171, 4982.6, 74.0768625982782, 0, 145211.303093942, 0, 0, 0, 0, 0
Step 3 Kelly, 65000, 4941.86057656307, 4982.6, 74.0394234369154, 0, 144671.894556425, 0, 0, 0, 0, 0
Step 3 Kelly, 65050, 4941.90035567202, 4982.6, 73.9996443279674, 0, 144240.367726411, 0, 0, 0, 0, 0
Step 3 Kelly, 65100, 4941.94013478097, 4982.6, 73.9598652190195, 0, 143916.722603901, 0, 0, 0, 0, 0
Step 3 Kelly, 65150, 4941.9822538375, 4982.6, 73.9177461624864, 0, 143700.959188895, 0, 0, 0, 0, 0
Step 3 Kelly, 65200, 4942.02203294645, 4982.6, 73.8779670535384, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 65250, 4942.06415200298, 4982.6, 73.8358479970053, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 65300, 4942.10627105952, 4982.6, 73.7937289404721, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 65350, 4942.14839011605, 4982.6, 73.751609883939, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 65400, 4942.19050917258, 4982.6, 73.7094908274058, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 65450, 4942.23028828153, 4982.6, 73.6697117184579, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 65500, 4942.27240733806, 4982.6, 73.6275926619248, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 65550, 4942.3145263946, 4982.6, 73.5854736053916, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 65600, 4942.35664545113, 4982.6, 73.5433545488585, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 65650, 4942.39876450766, 4982.6, 73.5012354923253, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 65700, 4942.44088356419, 4982.6, 73.4591164357922, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 65750, 4942.48066267314, 4982.6, 73.4193373268442, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 65800, 4942.52278172968, 4982.6, 73.3772182703111, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 65850, 4942.56490078621, 4982.6, 73.335099213778, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 65900, 4942.60701984274, 4982.6, 73.2929801572448, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 65950, 4942.64913889927, 4982.6, 73.2508611007117, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 66000, 4942.68891800822, 4982.6, 73.2110819917637, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 66050, 4942.73103706476, 4982.6, 73.1689629352306, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 66100, 4942.77315612129, 4982.6, 73.1268438786975, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 66150, 4942.81527517782, 4982.6, 73.0847248221643, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 66200, 4942.85739423435, 4982.6, 73.0426057656312, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 66250, 4942.8971733433, 4982.6, 73.0028266566832, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 66300, 4942.93929239984, 4982.6, 72.9607076001501, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 66350, 4942.98141145637, 4982.6, 72.9185885436169, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 66400, 4943.0235305129, 4982.6, 72.8764694870838, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 66450, 4943.06564956943, 4982.6, 72.8343504305507, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 66500, 4943.10542867838, 4982.6, 72.7945713216027, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 66550, 4943.14754773492, 4982.6, 72.7524522650696, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 66600, 4943.18966679145, 4982.6, 72.7103332085364, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 66650, 4943.23178584798, 4982.6, 72.6682141520033, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 66700, 4943.27390490451, 4982.6, 72.6260950954702, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 66750, 4943.31368401346, 4982.6, 72.5863159865222, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 66800, 4943.35580307, 4982.6, 72.5441969299891, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 66850, 4943.39792212653, 4982.6, 72.5020778734559, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 66900, 4943.44004118306, 4982.6, 72.4599588169228, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 66950, 4943.4821602396, 4982.6, 72.4178397603897, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 67000, 4943.52193934854, 4982.6, 72.3780606514417, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 67050, 4943.56405840508, 4982.6, 72.3359415949086, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 67100, 4943.60617746161, 4982.6, 72.2938225383754, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 67150, 4943.64829651814, 4982.6, 72.2517034818423, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 67200, 4943.69041557468, 4982.6, 72.2095844253091, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 67250, 4943.73253463121, 4982.6, 72.167465368776, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 67300, 4943.77231374016, 4982.6, 72.1276862598281, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 67350, 4943.81443279669, 4982.6, 72.0855672032949, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 67400, 4943.85655185322, 4982.6, 72.0434481467618, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 67450, 4943.89867090976, 4982.6, 72.0013290902286, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 67500, 4943.94078996629, 4982.6, 71.9592100336955, 0, 143593.077481391, 0, 0, 0, 0, 0
